COUNTRY_code,Country,SEO,Socio economic objective,MEASURE_id,Measure,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period,Value,Flag Codes,Flags
AUS,Australia,NABS04,"Transport, telecommunication and other infrastructures",MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,113.652,D,Difference in methodology
AUS,Australia,NABS04,"Transport, telecommunication and other infrastructures",MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,126.112,D,Difference in methodology
AUS,Australia,NABS04,"Transport, telecommunication and other infrastructures",MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,144.975,D,Difference in methodology
AUS,Australia,NABS04,"Transport, telecommunication and other infrastructures",MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,140.041,D,Difference in methodology
AUS,Australia,NABS04,"Transport, telecommunication and other infrastructures",MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,138.107,D,Difference in methodology
AUS,Australia,NABS04,"Transport, telecommunication and other infrastructures",MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,130.133,D,Difference in methodology
AUS,Australia,NABS04,"Transport, telecommunication and other infrastructures",MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,141.43,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS04,"Transport, telecommunication and other infrastructures",MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,173.821,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS05,Energy,MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,332.942,D,Difference in methodology
AUS,Australia,NABS05,Energy,MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,300.365,D,Difference in methodology
AUS,Australia,NABS05,Energy,MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,290.304,D,Difference in methodology
AUS,Australia,NABS05,Energy,MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,533.082,D,Difference in methodology
AUS,Australia,NABS05,Energy,MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,509.138,D,Difference in methodology
AUS,Australia,NABS05,Energy,MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,324.875,D,Difference in methodology
AUS,Australia,NABS05,Energy,MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,402.62,D,Difference in methodology
AUS,Australia,NABS05,Energy,MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,442.822,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS05,Energy,MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,366.315,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS06,Industrial production and technology,MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,1087.249,D,Difference in methodology
AUS,Australia,NABS06,Industrial production and technology,MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,1033.23,D,Difference in methodology
AUS,Australia,NABS06,Industrial production and technology,MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,910.236,D,Difference in methodology
AUS,Australia,NABS06,Industrial production and technology,MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,703.141,D,Difference in methodology
AUS,Australia,NABS06,Industrial production and technology,MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,609.415,D,Difference in methodology
AUS,Australia,NABS06,Industrial production and technology,MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,582.576,D,Difference in methodology
AUS,Australia,NABS06,Industrial production and technology,MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,564.974,D,Difference in methodology
AUS,Australia,NABS06,Industrial production and technology,MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,580.555,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS06,Industrial production and technology,MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,531.847,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS07,Health,MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,1193.881,D,Difference in methodology
AUS,Australia,NABS07,Health,MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,1289.237,D,Difference in methodology
AUS,Australia,NABS07,Health,MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,1119.403,D,Difference in methodology
AUS,Australia,NABS07,Health,MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,1215.196,D,Difference in methodology
AUS,Australia,NABS07,Health,MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,1219.643,D,Difference in methodology
AUS,Australia,NABS07,Health,MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,1065.833,D,Difference in methodology
AUS,Australia,NABS07,Health,MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,1126.822,D,Difference in methodology
AUS,Australia,NABS07,Health,MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,1252.493,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS07,Health,MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,1349.333,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS08,Agriculture,MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,458.26,D,Difference in methodology
AUS,Australia,NABS08,Agriculture,MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,505.048,D,Difference in methodology
AUS,Australia,NABS08,Agriculture,MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,492.704,D,Difference in methodology
AUS,Australia,NABS08,Agriculture,MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,546.111,D,Difference in methodology
AUS,Australia,NABS08,Agriculture,MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,595.419,D,Difference in methodology
AUS,Australia,NABS08,Agriculture,MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,611.492,D,Difference in methodology
AUS,Australia,NABS08,Agriculture,MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,613.134,D,Difference in methodology
AUS,Australia,NABS08,Agriculture,MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,658.649,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS08,Agriculture,MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,669.677,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS09,Education,MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,20.105,D,Difference in methodology
AUS,Australia,NABS09,Education,MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,17.113,D,Difference in methodology
AUS,Australia,NABS09,Education,MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,18.824,D,Difference in methodology
AUS,Australia,NABS09,Education,MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,19.179,D,Difference in methodology
AUS,Australia,NABS09,Education,MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,15.581,D,Difference in methodology
AUS,Australia,NABS09,Education,MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,15.733,D,Difference in methodology
AUS,Australia,NABS09,Education,MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,14.458,D,Difference in methodology
