"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bosnia and Herzegovina","BIH","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.3159217834473","63.140941619873","66.8546905517578","177.570755004883","197.448333740234","","","","","158.242416381836","229.819763183594","285.501800537109","354.217712402344","404.39990234375","","",
"Belarus","BLR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.5087585449219","73.3253173828125","71.946662902832","123.582122802734","120.18473815918","","","","","","","145.715408325195","165.954315185547","","","","","","","","",
"Brazil","BRA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","421.450256347656","438.406219482422","456.467010498047","493.297576904297","542.594116210938","518.619567871094","540.81103515625","564.465759277344","587.809997558594","642.347717285156","695.877014160156","748.278625488281","799.751770019531","850.388610839844","900.299560546875","","","","",
"Barbados","BRB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285.411987304688","277.314788818359","283.431091308594","","","","","","","","","","","","","","",
"Bhutan","BTN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168.33268737793","179.468521118164","","","","","",
"Central African Republic","CAF","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3054.810546875","3116.0595703125","3155.06591796875","3239.25830078125","3510.5673828125","3690.92626953125","3702.32153320313","3896.25512695313","4080.82568359375","4233.7734375","4308.71240234375","4582.9892578125","4705.94580078125","4445.71630859375","4643.435546875","4780.15576171875","4630.27880859375","4628.49853515625","4552.4853515625","","","","",
"Central Europe and the Baltics","CEB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1405.60949424413","1394.04747605671","1403.99405460779","1378.96706844938","1371.3961222568","1386.29017706331","1408.09169948849","1420.02584182566","1489.59991671041","1608.31348224006","1614.85738284378","1678.61378414556","1744.20132865988","1761.60926670658","1833.89299301838","1849.96076183883","1922.0560829595","1997.87566138457","2104.2096716554","2143.97234887262","","","",
"Switzerland","CHE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3130.49975585938","","","","3642.26171875","","","","3457.0771484375","","","","3288.16748046875","","","","4455.5068359375","","","5257.2978515625","","","",
"Channel Islands","CHI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","336.590240478516","357.645904541016","288.72021484375","320.125152587891","354.356292724609","392.727294921875","337.450897216797","430.641937255859","460.252990722656","502.101928710938","","",
"China","CHN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","438.406524658203","467.568450927734","383.055145263672","416.416198730469","541.663452148438","575.33837890625","624.130554199219","659.939514160156","704.906188964844","846.457397460938","920.665100097656","1064.76696777344","1184.47033691406","852.258117675781","890.484497070313","963.879333496094","1020.95581054688","1073.21887207031","1096.51745605469","1158.90808105469","1205.68249511719","","",
